airport_code,airport_name,enplanements,year
DLH,Duluth International,150556,2010
UNV,University Park,143531,2010
PBG,Plattsburgh International,94808,2010
MBS,MBS International,146870,2010
CWA,Central Wisconsin,156251,2010
LNK,Lincoln,143230,2010
SBP,San Luis County Regional,129220,2010
EWN,Coastal Carolina Regional,126800,2010
ITH,Ithaca Tompkins Regional,121390,2010
GFK,Grand Forks International,117980,2010
IFP,Laughlin/Bullhead International,121468,2010
ERI,Erie International/Tom Ridge Field,127184,2010
HTS,Tri-State/Milton J. Ferguson Field,115263,2010
RST,Rochester International,120063,2010
BGM,Greater Binghamton/Edwin A Link Field,108988,2010
MLU,Monroe Regional,100419,2010
HDN,Yampa Valley,110044,2010
LSE,La Crosse Municipal,109962,2010
RFD,Chicago/Rockford International,96974,2010
STS,Charles M. Schulz - Sonoma County,92778,2010
KTN,Ketchikan International,100138,2010
LRD,Laredo International,112520,2010
HLN,Helena Regional,98193,2010
HYA,Barnstable Municipal-Boardman/Polando Field,124560,2010
IAG,Niagara Falls International,23849,2010
PSE,Mercedita,97660,2010
ENA,Kenai Municipal,86857,2010
MTJ,Montrose Regional,96601,2010
BRO,Brownsville/South Padre Island International,84401,2010
FSM,Fort Smith Regional,83902,2010
CMI,University of Illinois-Willard,85715,2010
NYL,Yuma MCAS/Yuma International,82163,2010
MKK,Molokai,88688,2010
ADQ,Kodiak,80303,2010
TOL,Toledo Express,88578,2010
ABI,Abilene Regional,73605,2010
CSG,Columbus Metropolitan,63726,2010
CPR,Casper/Natrona County International,83342,2010
LYH,Lynchburg Regional/Preston Glenn Field,93772,2010
TYR,Tyler Pounds Regional,74357,2010
SBY,Salisbury-Ocean City Wicomico Regional,65489,2010
SPI,Abraham Lincoln Capital,61413,2010
CLL,Easterwood Field,72188,2010
1G4,Grand Canyon West,60682,2010
ACV,Arcata,93402,2010
FLO,Florence Regional,82961,2010
SIT,Sitka Rocky Gutierrez,64536,2010
LAW,Lawton-Fort Sill Regional,68054,2010
LWS,Lewiston-Nez Perce County,61737,2010
OTZ,Ralph Wien Memorial,62177,2010
PGV,Pitt-Greenville,61899,2010
LCH,Lake Charles Regional,65340,2010
ACT,Waco Regional,61401,2010
HXD,Hilton Head,73776,2010
FLG,Flagstaff Pulliam,62109,2010
OME,Nome,56658,2010
MHK,Manhattan Regional,44603,2010
SCK,Stockton Metropolitan,50632,2010
YKM,Yakima Air Terminal/McAllister Field,53832,2010
VQS,Antonio Rivera Rodriguez,46267,2010
SJT,San Angelo Regional/Mathis Field,56021,2010
SAW,Sawyer International,57371,2010
EAT,Pangborn Memorial,46837,2010
SUN,Friedman Memorial,52755,2010
MVY,Marthas Vineyard,43904,2010
SGU,St George Municipal,37596,2010
GRI,Central Nebraska Regional,37101,2010
DHN,Dothan Regional,41453,2010
CRQ,McClellan-Palomar,28355,2010
PPG,Pago Pago International,45206,2010
FNL,Fort Collins-Loveland Municipal,35671,2010
LNY,Lanai,43922,2010
SAF,Santa Fe Municipal,43807,2010
UTA,Tunica Municipal,65907,2010
SMX,Santa Maria Public/Capt G Allan Hancock Field,47741,2010
BRW,Wiley Post-Will Rogers Memorial,40141,2010
COU,Columbia Regional,38293,2010
AKN,King Salmon,41514,2010
HVN,Tweed-New Haven,35854,2010
PUW,Pullman/Moscow Regional,35248,2010
TWF,Joslin Field - Magic Valley Regional,35576,2010
RDD,Redding Municipal,54420,2010
VLD,Valdosta Regional,42537,2010
SCC,Deadhorse,37319,2010
ROW,Roswell International Air Center,38850,2010
SPS,Sheppard AFB/Wichita Falls Municipal,44296,2010
YNG,Youngstown-Warren Regional,27717,2010
LBE,Arnold Palmer Regional,6978,2010
GUC,Gunnison-Crested Butte Regional,37316,2010
DBQ,Dubuque Regional,33861,2010
HOM,Homer,38407,2010
